iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,WOA,poblacional,1582.5429867016753,1582.5429867016753,False,False,,,,,,,0,0,1,Llenando ventana
2,1,WOA,poblacional,999.9639927853615,999.9639927853615,False,False,,,,,,,0,0,2,Llenando ventana
3,1,WOA,poblacional,836.5751331348479,836.5751331348479,False,False,,,,,,,0,0,3,Llenando ventana
4,1,WOA,poblacional,832.1390232755832,832.1390232755832,False,False,,,,,,,0,0,4,Llenando ventana
5,1,WOA,poblacional,820.0225779002172,820.0225779002172,False,False,,,,,,,0,0,5,Llenando ventana
6,1,WOA,poblacional,795.9930823669284,795.9930823669284,False,False,,,,,,,0,0,6,Llenando ventana
7,1,WOA,poblacional,765.6228558432339,765.6228558432339,False,False,,,,,,,0,0,7,Llenando ventana
8,1,WOA,poblacional,734.2125481591415,734.2125481591415,False,False,,,,,,,0,0,8,Llenando ventana
9,1,WOA,poblacional,724.6354459082057,724.6354459082057,False,False,,,,,,,0,0,9,Llenando ventana
10,1,WOA,poblacional,718.37456511277,718.37456511277,False,False,,,,,,,0,0,10,Llenando ventana
11,1,WOA,poblacional,710.4341373401743,710.4341373401743,False,False,,,,,,,0,0,11,Llenando ventana
12,1,WOA,poblacional,701.095747394367,701.095747394367,False,False,,,,,,,0,0,12,Llenando ventana
13,1,WOA,poblacional,693.0111342017127,693.0111342017127,False,False,,,,,,,0,0,13,Llenando ventana
14,1,WOA,poblacional,678.2036375864691,678.2036375864691,False,False,,,,,,,0,0,14,Llenando ventana
15,1,WOA,poblacional,674.9768171597244,674.9768171597244,False,False,,,,,,,0,0,15,Llenando ventana
16,1,WOA,poblacional,674.5380766657076,674.5380766657076,False,False,,,,,,,0,0,16,Llenando ventana
17,1,WOA,poblacional,657.2278241352012,657.2278241352012,False,False,,,,,,,0,0,17,Llenando ventana
18,1,WOA,poblacional,654.5382998589263,654.5382998589263,False,False,,,,,,,0,0,18,Llenando ventana
19,1,WOA,poblacional,634.8187666530489,634.8187666530489,False,False,,,,,,,0,0,19,Llenando ventana
20,1,WOA,poblacional,609.2844218862869,609.2844218862869,False,False,,,,,,,0,0,20,Llenando ventana
21,1,WOA,poblacional,606.5911756192756,606.5911756192756,False,False,,,,,,,0,0,21,Llenando ventana
22,1,WOA,poblacional,597.4574295194672,597.4574295194672,False,False,,,,,,,0,0,22,Llenando ventana
23,1,WOA,poblacional,589.9263248191816,589.9263248191816,False,False,,,,,,,0,0,23,Llenando ventana
24,1,WOA,poblacional,588.9966925438813,588.9966925438813,False,False,,,,,,,0,0,24,Llenando ventana
25,1,WOA,poblacional,584.3303211440344,584.3303211440344,False,False,,,,,,,0,0,25,Llenando ventana
26,1,WOA,poblacional,575.011983426374,575.011983426374,False,False,,,,,,,0,0,26,Llenando ventana
27,1,WOA,poblacional,574.6472724989437,574.6472724989437,False,False,,,,,,,0,0,27,Llenando ventana
28,1,WOA,poblacional,574.0867307446312,574.0867307446312,False,False,,,,,,,0,0,28,Llenando ventana
29,1,WOA,poblacional,574.0867307446312,574.0867307446312,False,False,,,,,,,1,0,29,Llenando ventana
30,1,WOA,poblacional,572.510274771706,572.510274771706,False,False,,,,,,,0,0,30,Llenando ventana
31,1,WOA,poblacional,570.4142767638987,570.4142767638987,False,False,,,,,,,0,0,31,Llenando ventana
32,1,WOA,poblacional,567.5620619342457,567.5620619342457,False,False,,,,,,,0,0,32,Llenando ventana
33,1,WOA,poblacional,563.4125730993678,563.4125730993678,False,False,,,,,,,0,0,33,Llenando ventana
34,1,WOA,poblacional,560.785140655228,560.785140655228,False,False,,,,,,,0,0,34,Llenando ventana
35,1,WOA,poblacional,556.9299337111199,556.9299337111199,False,False,,,,,,,0,0,35,Llenando ventana
36,1,WOA,poblacional,556.1771170336094,556.1771170336094,False,False,,,,,,,0,0,36,Llenando ventana
37,1,WOA,poblacional,553.9689626258056,553.9689626258056,False,False,,,,,,,0,0,37,Llenando ventana
38,1,WOA,poblacional,552.6528096254995,552.6528096254995,False,False,,,,,,,0,0,38,Llenando ventana
39,1,WOA,poblacional,538.818337700611,538.818337700611,False,False,,,,,,,0,0,39,Llenando ventana
40,1,WOA,poblacional,537.5276172621013,537.5276172621013,False,False,,,,,,,0,0,40,Llenando ventana
41,1,WOA,poblacional,528.6076302898242,528.6076302898242,False,False,,,,,,,0,0,41,Llenando ventana
42,1,WOA,poblacional,511.88323543529236,511.88323543529236,False,False,,,,,,,0,0,42,Llenando ventana
43,1,WOA,poblacional,507.11857840157916,507.11857840157916,False,False,,,,,,,0,0,43,Llenando ventana
44,1,WOA,poblacional,501.94345341219673,501.94345341219673,False,False,,,,,,,0,0,44,Llenando ventana
45,1,WOA,poblacional,493.8257432467371,493.8257432467371,False,False,,,,,,,0,0,45,Llenando ventana
46,1,WOA,poblacional,493.32308064333336,493.32308064333336,False,False,,,,,,,0,0,46,Llenando ventana
47,1,WOA,poblacional,491.551051858195,491.551051858195,False,False,,,,,,,0,0,47,Llenando ventana
