run,Hybrid DTW,PSO,GWO,WOA,EHO,ACO
1,2029.412799584906,2025.553591477235,2029.042985993727,2120.005095464414,2029.2298837344663,2023.1428238639123
2,2020.997432895288,2009.952720952282,2022.3825042858696,2042.315725838214,2024.412131097531,2028.3400501787867
3,2022.6219927412774,2021.7317290542007,2036.5223000845433,2091.6445204199013,2022.6219927412762,2023.1553032122204
4,2024.5419876294536,2023.979792495713,2025.7457967365178,2155.0120689793694,2040.928159719634,2021.9743254905127
5,2022.7275188589683,2020.9942971659798,2047.5003824127325,2132.439663136666,2023.1716172765148,2024.2800572085907
6,2020.622421737093,2024.7582946665898,2043.2941533395276,2141.0678473343232,2028.985293638278,2021.7261247778172
7,2023.864411112977,2030.9546336414091,2028.6498141408897,2130.6410315316307,2140.930901888217,2024.4273987587594
8,2000.9970875078868,2020.6550517719,2033.0109919572806,2085.456327965131,2037.9822183271197,2023.848032960132
9,2026.0998127687517,2026.0988499858022,2033.5704674481492,2131.830527688782,2025.9608300129503,2024.1599578873336
10,2022.61661309296,2029.9500129057944,2041.6090972964676,2129.7834725584653,2059.046210518854,2026.6023840732869
11,2020.328133793216,2030.0992566984876,2036.3853146480428,2154.533093803572,2026.0403176007503,2021.8387465763433
12,2000.5009879668971,2029.752013105838,2038.5098308087504,2076.5915425117196,2022.7713387669503,2025.0175777846814
13,2024.9747128037286,2020.994580423174,2022.1577084976245,2100.1518206046917,2042.6320768272244,2023.9437762997275
14,2021.9902603727821,2021.7260702472604,2031.0551078548779,2059.236767415188,2023.139928813059,2024.65928431126
15,2008.9590477683703,2022.6140511033052,2021.025935399309,2150.302692396795,2025.8796913567796,2022.5093265116516
16,2020.5871305051382,2039.5359616551734,2038.643105025193,2188.2517337841,2019.6448312847629,2024.530632740212
17,2001.9909993297354,2001.9909991997433,2047.203067158738,2101.7353659474898,2023.1304507846187,2029.234730923708
18,2022.3851662989318,2036.8100006223756,2031.6132870284043,2183.0923741281986,2026.612609597709,2025.1630031605587
19,2020.9983515148226,2020.6256956484578,2021.000691239627,2104.7632421882486,2027.4957626175005,2028.449280116054
20,2002.013179971563,2041.0232240365697,2026.1728493361463,2111.5285580658765,2045.679919507838,2015.7375550971508
21,2020.501592458172,2026.098873237426,2039.4736562829687,2066.1299453904976,2028.7882828570866,2030.9872171250179
22,2033.4344344730773,2024.974868238519,2037.0814626541053,2188.2040079503295,2024.4806667053983,2022.9430850054555
23,2021.722811044055,2029.9492140197071,2039.6100714090958,2131.0337012874775,2021.677255702936,2025.9370904099792
24,2021.4954633881314,2023.6221139417357,2024.6293933513864,2120.3345895625175,2032.2523277897396,2024.6243997903343
25,2020.0594178798583,2033.8784009531137,2029.7474115937823,2195.370301154222,2025.6295022213053,2024.7205521498845
26,2043.4207389014875,2022.116024591275,2021.4884093735827,2115.9368151754456,2024.9913440958767,2027.6757867250606
27,2022.3838819279315,2024.604531680229,2032.2431638497112,2269.8120041500742,2026.8912037164432,2146.6461881352566
28,2020.0170636279167,2029.083730845142,2034.4206500267117,2080.332274960824,2021.360293980515,2031.7532399745953
29,2025.1041731057287,2023.1138504892365,2009.3708354431108,2119.8444504034273,2029.1004692174686,2024.535838934836
30,2024.9484597603023,2046.466531522039,2026.2166505101507,2218.830945621441,2023.9827205354445,2022.842542090545
31,2021.0902757872827,2030.4424031634644,2026.6851477571456,2110.832239950156,2054.584156432577,2028.0135750255138
