iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,EHO,poblacional,705.6731938110938,705.6731938110938,False,False,,,,,,,0,0,1,Llenando ventana
2,1,EHO,poblacional,690.9528421390648,690.9528421390648,False,False,,,,,,,0,0,2,Llenando ventana
3,1,EHO,poblacional,682.6889414543962,682.6889414543962,False,False,,,,,,,0,0,3,Llenando ventana
4,1,EHO,poblacional,674.5806767332439,674.5806767332439,False,False,,,,,,,0,0,4,Llenando ventana
5,1,EHO,poblacional,673.4755287746498,673.4755287746498,False,False,,,,,,,0,0,5,Llenando ventana
6,1,EHO,poblacional,649.9994591200918,649.9994591200918,False,False,,,,,,,0,0,6,Llenando ventana
7,1,EHO,poblacional,643.3616817714376,643.3616817714376,False,False,,,,,,,0,0,7,Llenando ventana
8,1,EHO,poblacional,639.9668735847332,639.9668735847332,False,False,,,,,,,0,0,8,Llenando ventana
9,1,EHO,poblacional,639.9668735847332,639.9668735847332,False,False,,,,,,,1,0,9,Llenando ventana
10,1,EHO,poblacional,639.9668735847332,639.9668735847332,False,False,,,,,,,2,0,10,Llenando ventana
11,1,EHO,poblacional,631.081387185706,631.081387185706,False,False,,,,,,,0,0,11,Llenando ventana
12,1,EHO,poblacional,631.081387185706,631.081387185706,False,False,,,,,,,1,0,12,Llenando ventana
13,1,EHO,poblacional,631.081387185706,631.081387185706,False,False,,,,,,,2,0,13,Llenando ventana
14,1,EHO,poblacional,629.2539431450896,629.2539431450896,False,False,,,,,,,0,0,14,Llenando ventana
15,1,EHO,poblacional,626.2901426695182,626.2901426695182,False,False,,,,,,,0,0,15,Llenando ventana
16,1,EHO,poblacional,626.2901426695182,626.2901426695182,False,False,,,,,,,1,0,16,Llenando ventana
17,1,EHO,poblacional,625.2314717740868,625.2314717740868,False,False,,,,,,,0,0,17,Llenando ventana
18,1,EHO,poblacional,624.0331311816424,624.0331311816424,False,False,,,,,,,0,0,18,Llenando ventana
19,1,EHO,poblacional,624.0331311816424,624.0331311816424,False,False,,,,,,,1,0,19,Llenando ventana
20,1,EHO,poblacional,622.9455547184664,622.9455547184664,False,False,,,,,,,0,0,20,Llenando ventana
21,1,EHO,poblacional,620.220718469333,620.220718469333,False,False,,,,,,,0,0,21,Llenando ventana
22,1,EHO,poblacional,620.220718469333,620.220718469333,False,False,,,,,,,1,0,22,Llenando ventana
23,1,EHO,poblacional,618.4689925827656,618.4689925827656,False,False,,,,,,,0,0,23,Llenando ventana
24,1,EHO,poblacional,618.0986469097112,618.0986469097112,False,False,,,,,,,0,0,24,Llenando ventana
25,1,EHO,poblacional,618.0986469097112,618.0986469097112,False,False,,,,,,,1,0,25,Llenando ventana
26,1,EHO,poblacional,618.0376335403968,618.0376335403968,False,False,,,,,,,0,0,26,Llenando ventana
27,1,EHO,poblacional,614.4915769601886,614.4915769601886,False,False,,,,,,,0,0,27,Llenando ventana
28,1,EHO,poblacional,612.6725872831972,612.6725872831972,False,False,,,,,,,0,0,28,Llenando ventana
29,1,EHO,poblacional,611.9019510508786,611.9019510508786,False,False,,,,,,,0,0,29,Llenando ventana
30,1,EHO,poblacional,611.9019510508786,611.9019510508786,False,False,,,,,,,1,0,30,Llenando ventana
31,1,EHO,poblacional,611.9019510508786,611.9019510508786,False,False,,,,,,,2,0,31,Llenando ventana
32,1,EHO,poblacional,611.9019510508786,611.9019510508786,False,False,,,,,,,3,0,32,Llenando ventana
33,1,EHO,poblacional,611.590134923826,611.590134923826,False,False,,,,,,,0,0,33,Llenando ventana
34,1,EHO,poblacional,611.2934085427274,611.2934085427274,False,False,,,,,,,0,0,34,Llenando ventana
35,1,EHO,poblacional,611.2934085427274,611.2934085427274,False,False,,,,,,,1,0,35,Llenando ventana
36,1,EHO,poblacional,611.2934085427274,611.2934085427274,False,False,,,,,,,2,0,36,Llenando ventana
37,1,EHO,poblacional,610.6707433552572,610.6707433552572,False,False,,,,,,,0,0,37,Llenando ventana
38,1,EHO,poblacional,610.6707433552572,610.6707433552572,False,False,,,,,,,1,0,38,Llenando ventana
39,1,EHO,poblacional,610.5467445902842,610.5467445902842,False,False,,,,,,,0,0,39,Llenando ventana
40,1,EHO,poblacional,610.5467445902842,610.5467445902842,True,False,94.91241471006333,95.1264492208096,-0.21403451074627355,4.0,20.0,12.0,1,0,40,Explotacion activa
41,1,EHO,poblacional,610.4192656086792,610.4192656086792,True,False,80.3523759831919,80.53357653038563,-0.18120054719372547,4.0,20.0,12.0,0,0,41,Explotacion activa
42,1,EHO,poblacional,610.4192656086792,610.4192656086792,True,False,72.14320391298713,72.26967584571696,-0.12647193272982804,4.0,20.0,12.0,1,0,42,Explotacion activa
43,1,EHO,poblacional,610.4192656086792,610.4192656086792,True,False,64.08120936065893,64.16141112456467,-0.08020176390573397,4.0,20.0,12.0,2,0,43,Explotacion activa
44,1,EHO,poblacional,610.4192656086792,610.4192656086792,True,False,63.00897096859603,63.05626316597056,-0.0472921973745315,4.0,20.0,12.0,3,0,44,Explotacion activa
45,1,EHO,poblacional,610.2325815065731,610.2325815065731,True,False,39.737052455308685,39.76687761351877,-0.029825158210087466,4.0,20.0,12.0,0,0,45,Explotacion activa
46,1,EHO,poblacional,610.0687014046603,610.0687014046603,True,False,33.26801063150242,33.29298036677733,-0.02496973527490809,4.0,20.0,12.0,0,0,46,Explotacion activa
47,1,EHO,poblacional,609.8961290479012,609.8961290479012,True,False,30.048191478429203,30.070744536831967,-0.02255305840276378,4.0,20.0,12.0,0,0,47,Explotacion activa
48,1,EHO,poblacional,609.8961290479012,609.8961290479012,True,False,30.048191478429203,30.070744536831967,-0.02255305840276378,4.0,20.0,12.0,1,0,48,Explotacion activa
49,1,EHO,poblacional,609.7833509559177,609.7833509559177,True,False,30.145793225528905,30.183522628815467,-0.03772940328656205,32.36014304538877,66.49980772635739,-0.028368531329533653,0,0,49,Explotacion activa
50,1,EHO,poblacional,609.7833509559177,609.7833509559177,True,False,21.28206270261569,21.298036229788295,-0.015973527172604918,30.183522628815467,64.08120936065893,-0.02496973527490809,1,0,50,Explotacion activa
51,1,EHO,poblacional,609.692590875287,609.692590875287,True,False,21.362060315031044,21.388796310419025,-0.026735995387980438,30.104577964427016,63.75953784304006,-0.025499613308829796,0,0,51,Explotacion activa
52,1,EHO,poblacional,609.692590875287,609.692590875287,True,False,21.362060315031044,21.388796310419025,-0.026735995387980438,30.070744536831967,63.43786632542119,-0.026029491342751503,1,0,52,Explotacion activa
